YEAR,DOY,SR,T2M_MIN,T2M_MAX,RH2M,WS2M
2022,187,19.84,24.15,30.7,85.75,0.06
2022,188,22.42,23.42,32.88,82.56,0.02
2022,189,15.68,23.63,32.5,80.81,0.05
2022,190,19.77,23.89,33.76,79.56,0.07
2022,191,19.66,23.79,33.39,82.31,0.07
2022,192,22.95,23.83,34.09,72.69,0.13
2022,193,21.71,24,34.52,73.62,0.12
2022,194,22.69,25.71,35.93,69.81,0.09
2022,195,25.71,25.29,38.37,68.06,0.11
2022,196,23.57,27.08,37.98,64.94,0.17
2022,197,21.19,25.42,36.68,73.56,0.06
2022,198,20.19,24.42,31.66,86.81,0
2022,199,17.36,23.5,31.55,81.62,0
2022,200,12.89,23.08,31.83,77.75,0
2022,201,17.59,22.8,33.19,79.94,0.01
2022,202,18.82,23.4,31.05,84.94,0.05
2022,203,15.88,24.02,29.95,86.19,0.08
2022,204,20.82,23.75,31.57,84.56,0.1
2022,205,12.9,23.6,29.49,88.25,0.08
2022,206,9.41,22.78,26.23,93.44,0.06
2022,207,13.89,22.08,30.6,83.44,0.08
2022,208,17.33,22.06,30.9,84.88,0.05
2022,209,16.39,23.12,30.12,82.94,0.06
2022,210,20.56,23.54,30.72,84.44,0.07
2022,211,15.78,23.01,32.03,84.19,0.02
2022,212,10.6,22.98,29.54,89.5,0
2022,213,14.05,22.43,32.66,82.5,0
2022,214,18.76,22.5,32.02,79.88,0.05
2022,215,14.83,23.44,31.87,80.62,0.12
2022,216,22.68,23.43,32.52,81.44,0.07
2022,217,17.58,23.98,28.61,87.44,0.11
2022,218,17.44,23.41,32.47,79.5,0.15
2022,219,22.89,24.55,34.42,75.94,0.16
2022,220,17.43,24.44,34.57,76.56,0.1
2022,221,18.7,23.73,35.18,71.75,0.08
2022,222,10.79,24.94,32.35,80.75,0.14
2022,223,25.99,23.81,35.96,73.12,0.1
2022,224,18.2,24.23,30.74,85.06,0.04
2022,225,12.05,23.83,30.34,83.19,0.11
2022,226,22.03,23.72,34.37,76.44,0.02
2022,227,23.12,22.44,33.72,76.81,0.01
2022,228,21.33,22.72,32.94,77.06,0.08
