Year,DOY,SolarRadiation,MaxTemp,MaxTemp,RH,WindSpeed,ETo,ETc,Stage,CWR
2021,337,16.04,14.2,27.19,71.69,0.34,3.536,1.768,1,0.491
2021,338,10.28,14.04,26.53,73.5,0.29,2.288,1.144,1,0.318
2021,339,13.63,15.83,27.02,72.81,0.33,3.07,1.535,1,0.426
2021,340,5.98,16.05,24.12,85.31,0.27,1.322,0.661,1,0.184
2021,341,4.55,16.8,22.65,91.94,0.11,0.976,0.488,1,0.136
2021,342,9.89,16.65,25.17,84.81,0.21,2.167,1.084,1,0.301
2021,343,14.47,14.73,25.82,78.62,0.22,3.131,1.566,1,0.435
2021,344,9.25,14.37,23.19,81.19,0.3,1.981,0.99,1,0.275
2021,345,14.18,12.88,23.39,77.12,0.34,2.966,1.483,1,0.412
2021,346,13.88,11.23,22.73,75.75,0.33,2.841,1.42,1,0.394
2021,347,13.75,11.23,23.14,75.31,0.3,2.826,1.413,1,0.393
2021,348,15.12,12.04,24.31,70.88,0.35,3.196,1.598,1,0.444
2021,349,15.95,11.24,23.26,72.12,0.43,3.297,1.648,1,0.458
2021,350,15.51,11.44,23.35,69.75,0.41,3.241,1.62,1,0.45
2021,351,15.85,11.37,24.31,64,0.38,3.377,1.688,1,0.469
2021,352,15.68,11.42,25.39,60,0.45,3.436,1.718,1,0.477
2021,353,15.96,11.36,24.05,66.44,0.45,3.385,1.692,1,0.47
2021,354,15.83,11.15,23.27,69.56,0.41,3.291,1.646,1,0.457
2021,355,15.93,10.62,23.35,71.31,0.37,3.271,1.636,1,0.454
2021,356,9.97,11.21,21.62,75.25,0.31,2.058,1.029,1,0.286
2021,357,14.69,10.79,22.6,71.5,0.33,3.009,1.504,1,0.418
2021,358,15.39,9.55,22.19,68.19,0.41,3.12,1.56,1,0.433
2021,359,14.32,9.37,22.63,69.19,0.37,2.908,1.454,1,0.404
2021,360,14.71,10.73,22.41,67.94,0.4,3.045,1.522,1,0.423
2021,361,15.11,10.58,22.37,68.81,0.38,3.104,1.552,1,0.431
2021,362,15.13,9.68,21.66,71,0.34,3.029,1.514,1,0.421
2021,363,12.4,9.13,23.05,74,0.24,2.493,1.246,1,0.346
2021,364,14.03,11.91,24.19,69.44,0.31,2.973,1.486,1,0.413
2021,365,14.94,11.08,23.28,72,0.43,3.096,1.548,1,0.43
2022,1,13.97,11.47,20.54,79.31,0.25,2.783,1.392,1,0.387
2022,2,16.02,10.13,23.87,73.62,0.3,3.261,1.63,1,0.453
2022,3,14.99,10.81,21.58,71.75,0.37,3.042,1.521,1,0.422
2022,4,15.89,9.28,23.55,70.94,0.39,3.217,1.608,1,0.447
2022,5,15.39,9.93,24.07,62,0.4,3.243,1.622,1,0.451
2022,6,15.75,10.66,24.43,62.81,0.38,3.341,1.67,1,0.464
2022,7,15.69,10.99,24.77,62.56,0.47,3.382,1.691,1,0.47
2022,8,15.89,11.44,25.1,63.06,0.45,3.439,1.72,1,0.478
2022,9,16.01,11.3,25.15,70.19,0.38,3.377,1.688,1,0.469
2022,10,15.56,12.28,25.33,69.81,0.41,3.34,1.67,1,0.464
2022,11,12.92,12.69,26.26,71.94,0.3,2.804,1.402,1,0.389
2022,12,8.75,13.81,20.79,81.25,0.21,1.817,0.908,1,0.252
2022,13,11.19,10.94,22.16,78.75,0.24,2.268,1.134,1,0.315
2022,14,7.97,11.83,21.33,74.81,0.19,1.654,0.827,1,0.23
2022,15,7.63,10.72,22.98,68.88,0.2,1.617,0.808,1,0.224
2022,16,14.71,10.74,23.47,68.06,0.28,3.05,1.525,1,0.424
2022,17,17.23,8.8,23.83,67.31,0.42,3.494,1.747,1,0.485
2022,18,12.22,9.46,23.73,62.75,0.33,2.575,1.288,1,0.358
2022,19,12.85,11.64,23.61,60.69,0.39,2.809,1.404,1,0.39
2022,20,9.04,10.56,20.51,75.31,0.34,1.849,0.924,1,0.257
2022,21,11.69,11.19,18.65,76.25,0.23,2.305,1.152,1,0.32
2022,22,13.41,7.88,21.39,69.06,0.32,2.641,1.32,1,0.367
2022,23,9.13,8.33,22.2,68.56,0.3,1.871,0.936,1,0.26
2022,24,8.17,10.19,19.32,79.94,0.15,1.602,0.801,1,0.223
2022,25,9.09,10.57,18.38,79.12,0.3,1.791,0.896,1,0.249
2022,26,10.87,10.73,21.25,74.12,0.34,2.223,1.112,1,0.309
2022,27,8.27,9.69,18.78,83.06,0.21,1.596,0.798,1,0.222
2022,28,12.06,8.61,19.08,68.69,0.3,2.358,1.179,1,0.328
2022,29,14.67,5.65,20.55,64.06,0.49,2.822,1.411,1,0.392
2022,30,12.18,7.07,20.37,68.25,0.31,2.365,1.182,1,0.328
2022,31,14.53,8.44,21.14,67.56,0.31,2.872,1.436,1,0.399
2022,32,9.81,8.54,18.33,78.88,0.09,1.853,0.926,1,0.257
2022,33,10.53,8.06,19.67,79.62,0.15,2.005,1.002,1,0.278
2022,34,7.88,9.12,21.95,70.81,0.26,1.626,0.813,1,0.226
2022,35,10.94,9.29,22.83,73.56,0.2,2.208,1.104,1,0.307
2022,36,11.21,9.33,20.61,83.31,0.08,2.178,1.089,1,0.302
2022,37,18.05,7.73,19.97,69.75,0.2,3.434,1.717,1,0.477
2022,38,17.86,8.04,20.62,61.62,0.37,3.505,1.752,1,0.487
2022,39,17.05,7.25,20.22,73.06,0.31,3.222,1.611,1,0.448
2022,40,16.93,7.77,20.49,70.62,0.38,3.251,1.626,1,0.452
2022,41,10.91,7.71,22.61,71.25,0.25,2.171,1.086,1,0.302
2022,42,15.24,10.98,22.06,75.69,0.2,3.072,1.536,1,0.427
2022,43,13.74,9.51,20.65,71.81,0.29,2.72,1.36,1,0.378
2022,44,20.86,6.4,22.86,63.12,0.4,4.049,2.025,1,0.562
2022,45,21.38,8.37,25.87,51.75,0.44,4.498,2.249,1,0.625
2022,46,20.59,11.33,26.34,44.81,0.48,4.617,2.308,1,0.641
2022,47,20.97,7.73,23.98,56.75,0.42,4.25,2.125,1,0.59
2022,48,20.33,8.83,24.06,59.69,0.39,4.159,2.08,1,0.578
2022,49,20.09,8.3,24.58,59.44,0.38,4.106,2.053,1,0.57
2022,50,19.03,8.91,24.5,60.12,0.38,3.925,1.962,1,0.545
2022,51,18.67,7.63,24.11,62.81,0.1,3.717,1.858,1,0.516
2022,52,13.22,10.2,19.87,73.19,0.24,2.61,1.305,1,0.362
2022,53,18.61,9.55,22.7,70.25,0.34,3.725,1.862,1,0.517
2022,54,9.34,9.02,24.65,62.19,0.35,2.033,1.016,1,0.282
2022,55,16.14,10.8,24.8,65.06,0.32,3.402,1.701,1,0.472
2022,56,13.81,12.45,22.44,81,0.36,2.825,1.412,1,0.392
2022,57,17.36,11.23,26.29,71.12,0.3,3.663,1.832,1,0.509
2022,58,18.3,10.99,25.88,68.38,0.23,3.841,1.92,1,0.533
2022,59,13.34,13.93,26.51,67.88,0.09,2.9,0.87,2,0.242
2022,60,18.06,12.68,26.92,67.62,0.3,3.912,1.174,2,0.326
2022,61,21.27,13.02,27.37,59.38,0.3,4.669,1.401,2,0.389
2022,62,21.79,13.07,28.29,55.5,0.42,4.89,1.467,2,0.408
2022,63,21.48,12.09,28.48,56.56,0.43,4.774,1.432,2,0.398
2022,64,20.84,11.28,28.33,55.62,0.35,4.577,1.373,2,0.381
2022,65,21.83,12.85,30.13,53.5,0.44,4.986,1.496,2,0.416
2022,66,22.55,13.72,32.13,51.94,0.48,5.297,1.589,2,0.441
2022,67,21.66,16.74,32.83,45.69,0.52,5.394,1.618,2,0.449
2022,68,21.98,16.5,31.74,50.19,0.4,5.279,1.584,2,0.44
2022,69,22.1,15.26,32.02,48.62,0.4,5.271,1.581,2,0.439
2022,70,21.5,16.41,32.14,46.38,0.38,5.209,1.563,2,0.434
2022,71,20.34,15.12,31.68,45.38,0.37,4.88,1.464,2,0.407
2022,72,21.27,16.94,32.7,44.12,0.47,5.296,1.589,2,0.441
2022,73,21.65,18.29,33.4,44.12,0.46,5.463,1.639,2,0.455
2022,74,20.23,18.84,33.29,48.31,0.37,5.044,1.513,2,0.42
2022,75,21.23,17.82,32.65,49.44,0.37,5.194,1.558,2,0.433
2022,76,21.67,15.88,32.77,46.31,0.38,5.245,1.574,2,0.437
2022,77,21.52,16.63,33.87,50.94,0.37,5.231,1.569,2,0.436
2022,78,20.38,18.01,34.45,55.94,0.38,5.007,1.502,2,0.417
2022,79,20.81,17.76,34.37,54.62,0.13,4.963,1.489,2,0.414
2022,80,21.14,17.18,34.3,52.25,0.2,5.068,1.52,2,0.422
2022,81,19.57,17.59,34.08,51.88,0.18,4.704,1.411,2,0.392
2022,82,19.51,19.63,33.19,53.5,0.33,4.831,1.449,2,0.402
2022,83,14.27,18.34,31.96,58.38,0.18,3.425,1.027,2,0.285
2022,84,15.65,18.54,30.96,65.88,0.16,3.678,1.103,2,0.306
2022,85,7.67,20.05,31.79,66.12,0.16,1.896,0.569,2,0.158
2022,86,20.5,18.19,32.01,64.88,0.2,4.819,1.446,2,0.402
2022,87,10.73,17.57,31.5,59.88,0.3,2.662,0.799,2,0.222
2022,88,8.66,17.12,31.12,62.19,0.24,2.129,0.639,2,0.178
2022,89,7.76,18.23,31.86,64.06,0.26,1.957,0.587,2,0.163
2022,90,8.07,18.33,32.4,68.62,0.18,1.965,0.59,2,0.164
2022,91,8.4,19.58,33.01,67.06,0.2,2.089,0.627,2,0.174
2022,92,10.55,20.51,33.9,66.25,0.18,2.613,0.784,2,0.218
2022,93,11.36,20.18,32.19,68.06,0.08,2.711,0.813,2,0.226
2022,94,5.95,19.54,31.09,71.12,0.16,1.465,0.44,2,0.122
2022,95,16.07,19.44,32.84,67.25,0.13,3.828,1.148,2,0.319
2022,96,14.1,19.68,32.23,71.06,0.12,3.347,1.004,2,0.279
2022,97,14.5,18.13,33.96,66,0.16,3.47,1.041,2,0.289
2022,98,17.6,18.59,34,62.5,0.18,4.228,1.268,2,0.352
2022,99,14.78,18.35,30.03,71.81,0.17,3.432,1.03,2,0.286
2022,100,11.14,18.23,30.97,69.75,0.22,2.654,0.796,2,0.221
2022,101,8.61,18.38,27.55,78.75,0.13,1.97,0.591,2,0.164
2022,102,13.22,19.64,31.34,73.94,0.18,3.133,0.94,2,0.261
2022,103,7.83,19.9,32.13,73.06,0.14,1.896,0.569,2,0.158
2022,104,14.38,21.6,29.3,76.25,0.14,3.386,1.016,2,0.282
2022,105,18.34,21.01,31.7,70.56,0.18,4.378,1.313,2,0.365
2022,106,18.28,21.36,30.69,71.81,0.15,4.333,1.3,2,0.361
2022,107,20.19,21.65,32.31,74,0.12,4.82,1.446,2,0.402
2022,108,18.77,20.47,31.45,73.81,0.15,4.432,1.33,2,0.369
2022,109,18.67,19.73,30.94,72.06,0.19,4.386,1.316,2,0.366
2022,110,12.31,20.21,26.76,85.94,0.08,2.793,0.838,2,0.233
2022,111,23.51,18.19,30.7,75.25,0.18,5.402,1.621,2,0.45
